Municipio	cpos
ADRAGONTE	15314
ALBITE (VALLEGESTOSO)	15315
ALDEA DE ARRIBA (IGLESIA FERVENZAS)	15316
ABRIGO	15317
ABEGONDO	15318
ABELARES, AS (REQUIAN-SANTIAGO)	15319
PONTES DE GARCIA RODRIGUEZ, AS	15320
ALTO DO PIO (ESPIÑAREDO)	15324
AMENEIROS (GOENTE)	15325
ACEBEIRAL	15326
ACIBIDO (APARRAL)	15327
ALGIMONDE	15328
ADEGA (RIBADEUME)	15329
ORTIGUEIRA	15330
AGUEIRO	15332
PLANTIO (LANDOI)	15336
ANIDO (BARES)	15337
ABELEIRA (NOGUEIRIDO)	15338
ABASTEIRA	15339
PONTE DE MERA	15340
VILARES (BALTAR)	15341
AFONSA	15347
AMIEIROS (PONTE NOVAL)	15349
CEDEIRA	15350
ACEA (CERVO)	15357
ATRIO (REGOA)	15358
ACEAS	15359
CARIÑO	15360
AIRADO	15365
ADEGA (LANDOI)	15366
ATRIO (SAN ADRIAN)	15367
BODEGUEIRA	15368
AREADO DE ABAIXO	15369
ALVITE (FISTEUS-CURTIS)	15370
GOEXA	15374
BALDARIS	15379
ADRO	15380
AZOI (QUEIMADA)	15386
BACARIZA	15387
AGRA (OZA DOS RIOS)	15388
AMARANTE	15389
ARMUCELA	15390
ABELEIRA (CESURAS)	15391
QUISTILAN	15392
Ferrol	15401
Ferrol	15402
Ferrol	15403
Ferrol	15404
Ferrol	15405
Ferrol	15406
Ferrol	15407
LONGRAS (FERROL)	15424
Ferrol	15470
Ferrol	15471
Ferrol	15480
Ferrol	15482
ESPASANDIN	15485
Ferrol	15490
ESCORIAL (FERROL)	15494
AMENEIRAS	15500
ALFE	15509
ALBARON	15510
VALBON	15515
TORRE, A (SARCES)	15518
ABELEDO (MANIÑOS)	15520
PROMONTOURO	15526
FONTE (CAMIÑO GRANDE)	15527
BARALLOBRE	15528
ANGUEIROS	15530
BACARIZA (SAN MATEO TRASANCOS)	15540
ABELLEIRO	15541
CALEIRA (LOIRA)	15542
AGUA LEVADA (VILABOA)	15543
ZAPATEIRO	15549
BAÑA (SEQUEIRO MEIRAS)	15550
BALSADA	15551
AGROS	15552
ALOIRA	15553
ARNELA (VILARUBE)	15554
ARDEON	15555
PIÑON (BARQUEIRA, A)	15556
BASTEIRO, O	15557
AGRA DE ABAIXO	15560
ARDARIZ	15561
ABEIJA	15562
ABADE	15563
ABELLEIRA (SANTA CRUZ DE MOECHE)	15564
ABELEDO (SOMOZAS)	15565
AREAS DE ABAIXO	15566
ABELEIRAL	15567
BACELAR (RECEMEL)	15568
ABELLEIRA DE ABAIXO	15569
CASADELOS-XUBIA	15570
AGRAS	15572
ABELLEIRA (NARAHIO)	15576
ABUINOSO	15577
AGRAMONTE	15578
CANIDO	15579
ALBIGUEIRA	15580
ALMIGONDE	15582
PEDROSO (NARON)	15587
BARCA DE ABAIXO (GRAÑA, A)	15590
CORRALES, OS	15591
AREALBA	15592
ATARRE	15593
ABELLEIRA (FERROL)	15594
ACRUZ	15595
BARREIROS (SEDES)	15596
BARRIO TORRES	15597
CAPELA (FERREIRA)	15598
AGUABAR	15600
AMENEIRAL, O (NOGUEIROSA-SAN COSME)	15608
ABESADA (PERBES)	15609
ASURIRA	15610
BALBIS (ERINES)	15611
AMENEIROS (SOASERRA)	15612
ABELLEIRA (CAPELA)	15613
ALLEGUE	15614
ABELLEIRA (DOROÑA)	15615
ACIBEIRO (GRANDAL)	15616
ABARCOBO	15617
ABELEDO (VISURA)	15618
CASA DO CONDE	15619
BAILOS	15620
APEADEIRO (CABANAS)	15621
ANIDOS (LARAXE)	15622
BARRACIDO	15623
ARES (PONTEDEUME)	15624
AGARRIOS	15625
AMORA, A	15626
AVELEIRA (CAMIÑO GRANDE)	15627
BARROSA (MIÑO)	15630
ABELLEIRA (BEMANTES)	15635
AREOSA (VILARMAIOR)	15637
ABEAL	15638
BAÑOBRE	15639
BALBIS (GUISAMO)	15640
ALDEA DE ARRIBA (CECEBRE)	15650
BARBAIN	15659
AMIL (CAMBRE)	15660
ABERTO	15668
ANDEIRO	15669
BARCALA (BURGO, O)	15670
BARCALA (POLIGONO TEMPLE)	15679
CASAL, O (ORDES-SANTA MARIA)	15680
FEAS DE RIBA	15681
ABELEIRAS (TORDOIA)	15683
ABENEIRAS	15684
ABELLA (SANTO ESTEVO)	15685
ABOI (CELTIGOS)	15686
AGRO CHOCO	15687
AGREXA, A (BEAN)	15688
ACHAN	15689
CANZOBRE (UXES)	15690
PONTRAGA	15691
CRUZ DO MONTE (TRASMONTE)	15692
Santiago de Compostela	15701
Santiago de Compostela	15702
Santiago de Compostela	15703
Santiago de Compostela	15704
Santiago de Compostela	15705
Santiago de Compostela	15706
Santiago de Compostela	15707
Santiago de Compostela	15770
Santiago de Compostela	15771
Santiago de Compostela	15780
Santiago de Compostela	15781
Santiago de Compostela	15782
MELIDE (MELIDE)	15800
ABUCIDE	15806
ABELEIRAS (PRESRAS)	15807
ABEANCOS (SAN COSME MOLDES)	15808
ABEANCOS (SAN SALVADOR MELIDE)	15809
ARZUA	15810
ACEA (SOBRADO)	15813
ARMADA (ROADE)	15814
ABELEDO (ROADE)	15815
ADAMONDE	15816
VILAR, O (MERCURIN)	15817
ABELEIRA (BOIMORTO)	15818
ABRUÑEDO (MELLA)	15819
AEROPORTO LABACOLLA (CORUÑA, LA)	15820
ALVARIN	15821
ALDREU	15822
ANGUMIL (CEBREIRO)	15823
ABELENDA (QUION)	15824
BASCUAS	15825
ALBITE (BOENTE)	15826
NEGREIRA (CIRCULAR)	15830
ABELEIRAS (NEGREIRA)	15837
AGRIS (ARO)	15838
ABEANCA	15839
SANTA CATALINA (SANTA COMBA)	15840
ALDEA (SANTA COMBA)	15841
AGRIS (GRIXOA)	15845
ALBARIN (MALLON)	15846
BAZAR (VILAMAIOR)	15847
ALBARIN (CASTRIZ)	15848
COSTA (ZAS)	15850
AGREANAS OU A BRAÑA	15851
CARREIRA (MIRA)	15855
ARCAR	15856
ATALAIA, A (MEANOS)	15857
ABELLAS, AS	15858
ACALABANDA (BANDOMIL)	15859
ARAN (TRAVESAS)	15860
ABELEIRAS (SER)	15861
CABANAS (BAÑA, A)	15862
BAIXADOIRA	15863
AGRON (SAN LOURENZO)	15864
AGUIAR	15865
AMENEIRO (OSEBE)	15866
AMEIXENDA (SANTA MARIA)	15870
BALINDO	15871
BASCUAS (PARAMOS)	15872
ABELENDA	15873
ALBAXEIRA	15874
FORTALEZA (PRESARAS)	15877
AFOX	15880
AGRA (GASTRAR)	15881
BAIUCA (PONTE LEDESMA)	15882
AGRELA, A (LAMPAI)	15883
ALDEA DE ABAIXO, A	15884
BURGO (VEDRA)	15885
AGOSO	15886
AGROLONGO	15887
BARCIELA, A (SANTO ANDRE)	15888
MARIÑAO	15889
AEROPORTO (SON DE AFORA), CARRETERA	15890
CASAS DO VENTO, AS (SAN LAZARO-SANTIAGO)	15891
ACIBREIRA	15892
ARDAGAN	15893
CASAL DOUTEIRO	15894
ADRAN (BALCAIDE)	15895
AMAÑECIDA, A (ROXOS)	15896
ALDREI	15897
Santiago de Compostela	15898
AGRASAN	15899
PADRON	15900
AGRONOVO (EXTRAMUNDI)	15910
AIDO (ROIS)	15911
ALDEA GRANDE (BUXAN)	15912
AUGAS SANTAS	15913
BANDIN (PADRON)	15914
BARCA (PADRON)	15915
BOCA DO MONTE (LESTROVE)	15916
BARCO (IRIA)	15917
BARRAL, O (RIANXO)	15920
ABUIN (LEIRO)	15928
ALMACEN (RIANXO)	15929
BOIRO (BOIRO)	15930
ACUNCHEIRA	15937
ABANQUEIRO	15938
ALDEA DE ARRIBA (CABO DE CRUZ)	15939
POBRA DO CARAMIÑAL, A	15940
CASTIÑEIRAS (VILAMAIOR)	15947
AGROS DE VILA	15948
AFIGUEIRA (CAMPIÑO)	15949
ATRIO (PALMEIRA)	15950
LIDON	15957
REGUEIRA DE ABAIXO (VILELA)	15958
CAMBRA (PALMEIRA)	15959
RIBEIRA (SANTA UXIA)	15960
SINAGOGA	15964
AGUIÑO	15965
AMEIXIDA	15966
CAMPOS (CARREIRA)	15967
CARAMECHEIRO	15968
ARRIBAS (ARTES)	15969
PORTO DO SON	15970
BELGA	15978
ABUIN (BAROÑA)	15979
ANGUEIRA DE SUSO (ESCRAVITUDE, A)	15980
CALLE, A (URDILDE)	15981
BEXO	15982
BACARIZA (ISORNA)	15983
ARAÑO	15984
BURATA, A (TARAGOÑA)	15985
AGRA DE RIVEIRA	15990
AGUEIROS (CESPON)	15991
AGRAMUNIÑA	15992
AXEITOS	15993
ALBORADA	15994
ABELENDO (XUÑO)	15995
BARRENTO	15996
CAMPOS VERDES (RIBASERRA)	15997
CAMPO (QUEIRUGA)	15998
BALCUNQUEIRO	15999
AGUIRRE	16001
ACEBO, EL	16002
02	16003
03	16004
CODIGO CORRESPONDENCIA OFICIAL CORREOS-TELEGRAFOS	16070
CODIGO CORRESPONDENCIA PARA ORGANISMOS OFICIALES	16071
CODIGO POSTAL PARA APARTADOS PARTICULARES Y LISTA	16080
VALVERDE DE JUCAR	16100
ALBALADEJO DEL CUENDE	16111
BAÑOS DE VALDEGANGA	16112
PARRA DE LAS VEGAS	16113
BUENACHE DE ALARCON	16114
BARCHIN DEL HOYO	16118
VALERA DE ABAJO	16120
CASTELLAR, EL	16122
ARCAS	16123
VILLALBA DE LA SIERRA	16140
ARCOS DE LA SIERRA	16141
MAJADAS, LAS	16142
COLLADOS	16143
FRONTERA, LA	16144
PAJARES	16145
VALDECABRAS	16146
SITIO DE SAN ANTONIO	16147
TRAGACETE	16150
BEAMUD	16152
PALOMARES DEL CAMPO	16160
TORREJONCILLO DEL REY	16161
HORCAJADA DE LA TORRE	16162
CHILLARON DE CUENCA	16190
ARCOS DE LA CANTERA	16191
BUENACHE DE LA SIERRA	16192
FUENTES	16193
COLLIGA	16194
ABIA DE OBISPALIA	16195
BARBALIMPIA	16196
MOTILLA DEL PALANCAR	16200
CAMPILLO DE ALTOBUEY	16210
PICAZO, EL	16211
POZOSECO	16212
ALARCON	16214
ALMODOVAR DEL PINAR	16215
CHUMILLAS	16216
QUINTANAR DEL REY	16220
VILLANUEVA DE LA JARA	16230
INIESTA	16235
CASAS DE SANTA CRUZ	16236
LEDAÑA	16237
CASAS DEL OLMO	16238
CASASIMARRO	16239
PERAL, EL	16240
CASTILLEJO DE INIESTA	16250
GRAJA DE INIESTA	16251
MINGLANILLA	16260
PESQUERA, LA	16269
VILLALPARDO	16270
VILLARTA	16280
ALCAHOZO	16290
CAÑETE	16300
BONICHES	16311
GARABALLA	16312
ALIAGUILLA	16313
ALCALA DE LA VEGA	16315
CAMPILLOS SIERRA	16316
SALINAS DEL MANZANO	16317
CASAS NUEVAS	16318
TALAYUELAS	16320
CASILLAS DE RANERA	16321
LANDETE	16330
OLMEDA, LA	16336
PEDRO IZQUIERDO	16337
ALGARRA	16338
GRAJA DE CAMPALBO	16339
CAÑADA DEL HOYO	16340
CARBONERAS DE GUAZAON	16350
ARGUISUELAS	16360
SAN MARTIN DE BONICHES	16370
NARBONETA	16371
ENGUIDANOS	16372
CARDENETE	16373
PAJARON	16390
MIRA	16393
TARANCON	16400
HORCAJO DE SANTIAGO	16410
FUENTE DE PEDRO NAHARRO	16411
ACEBRON, EL	16412
TORRUBIA DEL CAMPO	16413
POZORRUBIO	16414
VILLAMAYOR DE SANTIAGO	16415
HINOJOSOS, LOS	16417
ALMENDROS	16420
HONTANAYA	16421
TRESJUNCOS	16422
OSA DE LA VEGA	16423
SAELICES	16430
ALMONACID DEL MARQUESADO	16431
VILLAREJO DE FUENTES	16432
ALCONCHEL DE LA ESTRELLA	16433
MONTALBANEJO	16434
HINOJOSA, LA	16435
MONTALBO	16440
HITO, EL	16441
VILLARES DEL SAZ	16442
CERVERA DEL LLANO	16444
ROZALEN DEL MONTE	16452
BARAJAS DE MELO	16460
LEGANIEL	16461
SACEDA TRASIERRA	16463
ALCAZAR DEL REY	16464
HUELVES	16465
BELINCHON	16470
HUETE	16500
GARCINARRO	16510
BUENDIA	16512
MONCALVILLO DE HUETE	16520
VALDEMORO DEL REY	16521
PORTALRUBIO DE GUADAMEJUD	16522
GASCUEÑA	16532
VILLALBA DEL REY	16535
ALCOHUJATE	16537
BONILLA	16540
CASTILLEJO DEL ROMERAL	16541
CUEVAS DE VELASCO	16542
LANGA, LA	16550
CARRASCOSA DEL CAMPO	16555
SAN CLEMENTE	16600
CASAS DE FERNANDO ALONSO	16610
CASAS DE HARO	16611
CASAS DE LOS PINOS	16612
ALBERCA DE ZANCARA, LA	16620
SANTA MARIA DEL CAMPO RUS	16621
PINAREJO	16622
CASTILLO DE GARCIMUÑOZ	16623
MOTA DEL CUERVO	16630
PEDERNOSO, EL	16638
SANTA MARIA DE LOS LLANOS	16639
BELMONTE	16640
VILLALGORDO DEL MARQUESADO	16646
FUENTELESPINO DE HARO	16647
VILLAR DE LA ENCINA	16648
CARRASCOSA DE HARO	16649
MESAS, LAS	16650
PEDROÑERAS, LAS	16660
PROVENCIO, EL	16670
SISANTE	16700
CASAS DE BENITEZ	16707
CASAS DE GUIJARRO	16708
SIMARRO, EL	16709
ATALAYA DEL CAÑAVATE	16710
CAÑADA JUNCOSA	16720
HONRUBIA	16730
CAÑAVATE, EL	16738
TORRUBIA DEL CASTILLO	16739
ALMARCHA, LA	16740
OLIVARES DE JUCAR	16760
SAN LORENZO DE LA PARRILLA	16770
CONGOSTO, EL	16771
BELMONTEJO	16779
ALTAREJOS	16780
FRESNEDA DE ALTAREJOS	16781
PRIEGO	16800
ALBENDEA	16812
SALMERONCILLOS DE ABAJO	16813
VILLAR DE DOMINGO GARCIA	16840
ALBALATE DE LAS NOGUERAS	16841
TORRALBA	16842
BOLLIGA	16843
CAÑAVERAS	16850
BUCIEGAS	16851
OLMEDA DE LA CUESTA	16852
OLMEDILLA DE ELIZ	16853
CASTILLO DE ALBARAÑEZ	16854
ARRANCACEPAS	16855
CASTEJON	16856
CANALEJAS DEL ARROYO	16857
VILLACONEJOS DE TRABAQUE	16860
BETETA	16870
LAGUNASECA	16878
CARRASCOSA	16879
CAÑAMARES	16890
CAÑIZARES	16891
PUENTE DE VADILLOS	16892
SOLAN DE CABRAS	16893
Girona	17001
Girona	17002
Girona	17003
Girona	17004
Girona	17005
Girona	17006
Girona	17007
Girona	17070
Girona	17071
Girona	17080
BISBAL D'EMPORDA, LA	17100
FONTETA	17110
BORDETA, LA	17111
CANAPOST	17113
ULLASTRET	17114
CASTELL D'EMPORDA	17115
CRUILLES	17116
SANT MIQUEL DE CRUILLES	17117
SANT SADURNI DE L'HEURA	17118
CAÇA DE PELRAS	17120
CASAVELLS	17121
TORRENT D'EMPORDA	17123
LLOFRIU	17124
CINCLAUS	17130
RUPIA	17131
FOIXA	17132
FONOLLERES	17133
CANET DE VERGES	17134
ALBONS	17136
PALABORRELL	17137
ULLA	17140
BELLCAIRE D'EMPORDA	17141
VERGES	17142
JAFRE	17143
COLOMERS	17144
SANT GREGORI (MUNICIPIO)	17150
GINESTAR	17151
LLORA	17152
GRANOLLERS DE ROCACORBA	17153
SANT ANIOL DE FINESTRES	17154
ANGLES	17160
COLL, EL (AYTO SUSQUEDA)	17161
BESCANO	17162
BONMATI	17164
CELLERA DE TER, LA	17165
PASTERAL, EL	17166
AMER	17170
BARROCA, LA	17171
COLONIA DUSOL	17172
COGOLLS	17173
BASTONS	17174
SANT MIQUEL DE PINEDA	17175
DRETA DEL FLUVIA, LA	17176
FALGARS D'EN BAS	17177
BELLAIRE	17178
BAC D'EN DEU, EL, POBLADO	17179
PERELLO, EL	17180
AIGUAVIVA	17181
ESTANYOL	17182
SANT DALMAI	17183
SALITJA	17184
AEROPORT DE GIRONA - COSTA BRAVA	17185
Girona	17190
ADRI	17199
BRUGUEROL, EL	17200
CALELLA DE PALAFRUGELL	17210
LLAFRANC	17211
TAMARIU	17212
ESCLANYA	17213
REGENCOS, PUEBLO	17214
SANT FELIU DE GUIXOLS	17220
CALA MARGARIDA	17230
CANYERA, LA	17240
CREUETA, LA	17241
CASTELLAR DE LA SELVA	17242
EROLS	17243
CASSA DE LA SELVA	17244
BELL-LLOC	17245
BUFAGANYES	17246
S'AGARO	17248
CANYET	17249
PLATJA D'ARO	17250
CALONGE	17251
SANT ANTONI DE CALONGE	17252
MOLINES	17253
AIGUABLAVA, D', PLATJA	17255
FONTCLARA	17256
FONTANILLES	17257
ESTARTIT, L'	17258
BLANES	17300
ALEGRIES, LES	17310
CANYELLES (AYTO TOSSA)	17320
BREDA	17400
ARBUCIES	17401
JOANET	17402
FOGUERES DE MONTSORIU	17403
COMTE D'ALBA DE LISTE	17404
ESPINELVES	17405
VILADRAU	17406
MALLORQUINES, LES	17410
BORIES, LES	17411
COMAJULIANA	17412
MALLORQUINES	17420
ESPARRA, L'	17421
SANTA COLOMA DE FARNERS	17430
BRUNYOLA	17441
SANTA CREU D'HORTA	17442
CASTANYET	17443
CLADELLS	17444
SANT PERE CERCADA	17445
HOSTALRIC	17450
GASERANS	17451
MASSANES	17452
MARTORELL DE LA SELVA	17453
CALDES DE MALAVELLA	17455
FRANCIACH, PUEBLO	17456
CAMPLLONG	17457
FORNELLS DE LA SELVA	17458
CELRA	17460
CAMPDORA	17461
BARRI DE L'ESTACIO, EL	17462
FLAÇA	17463
CERVIA DE TER	17464
CAMALLERA	17465
GARRIGOLES	17466
SANT MORI	17467
GALLINERS	17468
FAR D'EMPORDA, EL	17469
MASOS, ELS	17470
ARMENTERA, L'	17472
SALDET	17473
BOMBA, LA	17474
SANT MIQUEL DE FLUVIA	17475
ARENYS D'EMPORDA	17476
CANYELLES ALMADRABA (AJUNTAMENT ROSES)	17480
MONTAGUT (AJUNTAMENT SAN JULIA RAM)	17481
MEDINYA	17482
BARRI DE CAMALLERA	17483
VILATENIM	17484
VILA-SACRA	17485
CASTELLO D'EMPURIES	17486
EMPURIABRAVA	17487
CADAQUES	17488
EROLA	17489
FANE	17490
PERALADA	17491
VILANOVA DE LA MUGA	17492
MARZA	17493
PAU	17494
PALAU-SAVERDERA	17495
COLERA, VILLA	17496
PORTBOU	17497
COLONIA ROCAFIGUERA	17500
BRUCS	17510
LLOSSES, LES (MUNICIPIO)	17512
SANT MARTI DE VINYOLES	17513
PALMEROLA	17514
CIURET	17515
BARRI LA GIMGUETA	17520
CEREJA	17527
GUILS DE CERDANYA	17528
AGE	17529
CAMPDEVANOL	17530
ARANYONET	17531
FARGA DE BEBIE, LA	17532
BRUGUERA (AYTO RIBES FRESE)	17533
ARMANCIES	17534
ASPRE	17535
DORRIA	17536
MOLINA, LA	17537
ALP	17538
ALL	17539
VINYOT	17583
FIGUERES	17600
JONQUERA, LA	17700
PONT DE MOLINS	17706
AGULLANA	17707
CANTALLOPS	17708
CANADAL	17709
CENTRO MILITAR SANT CLIMENT SESCEBES	17710
MAÇANET DE CABRENYS	17720
TAPIS	17721
ARNERA (AYTO MACANET CB)	17722
BIURE	17723
HOSTALETS, ELS	17730
PALAU SURROCA	17731
GUARDIA, LA	17732
ALBANYA	17733
BASSEGODA	17734
ARENGADA, L'	17740
CISTELLA	17741
AVINYONET DE PUIGVENTOS	17742
VILANANT	17743
CANELLES	17744
ESTELA, L'	17745
CABANELLES	17746
ESPINAVESSA	17747
CAPMANY	17750
SANT CLIMENT SESCEBES	17751
COSTES, LES (AJUNTAMENT MOLLET DE PERALADA)	17752
ESPOLLA	17753
RAVOS D'EMPORDA	17754
DELFIA	17755
VILABERTRAN	17760
AIGUETA	17761
VILARNADAL	17762
MASARAC	17763
BORRASSA	17770
SANTA LLOGAIA D'ALGUEMA	17771
ORDIS	17772
PONTOS	17773
GARRIGUELLA	17780
VILAMANISCLE	17781
OLOT	17800
SANT CRISTOFOL LES FONTS	17810
ARCS, ELS	17811
BATET DE LA SERRA	17812
SANT MARTI DEL CLOT	17813
SOLEI, EL	17814
BANYOLES	17820
BRUGAROLES	17830
BRIOLF	17831
ANGLADES, LES	17832
FARRES, LA	17833
CAMOS	17834
SARRIA DE DALT, PUEBLO	17840
MOTA, LA, PUEBLO	17843
BORGONYA	17844
RAVOS DEL TERRI	17845
MATA	17846
AUSSINYA	17850
BRUGUERS	17851
BAIO	17852
ARGELAGUER	17853
CAN COMA	17854
MONTAGUT, PUEBLO	17855
CASTELLFOLLIT DE LA ROCA	17856
AIGUANEGRA	17857
CANYA, LA (AYTO VALL BIANYA)	17858
BAGA AMUNT	17860
OGASSA	17861
BAGA AMUNT, LA (O DE DALT)	17862
SANT BERNABE DE LES TENES	17863
SANT PAU DE SEGURIES	17864
RAL, LA	17865
COLONIA ESTEVENELL, LA	17866
BEGET	17867
CAN SOLA	17868
ABELLA	17869
Granada	18001
Granada	18002
Granada	18003
Granada	18004
Granada	18005
Granada	18006
Granada	18007
Granada	18008
Granada	18009
Granada	18010
Granada	18011
Granada	18012
Granada	18013
Granada	18014
Granada	18015
Granada	18070
Granada	18071
Granada	18080
ARMILLA	18100
BELICENA	18101
GABIA LA CHICA	18110
ALHAMA DE GRANADA	18120
ARENAS DEL REY	18126
FORNES	18127
ALMENDRAL, EL	18128
CACIN	18129
ESCUZAR	18130
ACULA	18131
AGRON	18132
ZUBIA, LA	18140
GOJAR	18150
OGIJARES	18151
DILAR	18152
GUEJAR SIERRA	18160
ALFACAR	18170
ALFAGUARA	18179
DIEZMA	18180
DARRO	18181
FARGUE, EL	18182
HUETOR DE SANTILLAN	18183
BEAS DE GRANADA	18184
CENES DE LA VEGA	18190
CANALES	18191
DUDAR	18192
MONACHIL	18193
AMBROZ	18194
GUAJAR ALTO	18195
SIERRA NEVADA	18196
COGOLLOS VEGA	18197
BARRIO DE MONACHIL	18198
CAJAR	18199
MARACENA	18200
PELIGROS	18210
ALBOLOTE	18220
ATARFE	18230
PINOS PUENTE	18240
MOCLIN	18247
OLIVARES	18248
LIMONES	18249
VALDERRUBIO	18250
ALHONDIGUILLA	18260
CORTIJO DE BARATAS	18270
ALGARINEJO	18280
CALICASAS	18290
ANZOLA	18291
BALNEARIO DE SANTA ELVIRA	18292
ESCOZNAR	18293
FUENTE DE CESNA	18295
BARRIADA ESPERANZA	18300
SALAR	18310
VENTORROS DE SAN JOSE	18311
SANTA BARBARA	18312
RIOFRIO	18313
CUESTA DE LA PALMA	18314
SANTAFE	18320
LACHAR	18327
FUENSANTA	18328
CASTILLO TAJARJA	18329
CHAUCHINA	18330
CIJUELA	18339
FUENTE VAQUEROS	18340
ALOMARTES	18350
HUETOR TAJAR	18360
VILLANUEVA DE MESIAS	18369
MORALEDA DE ZAFAYONA	18370
TOCON, DE, ESTACION	18380
BRACANA	18381
ORGIVA	18400
BAYACAR	18410
PAMPANEIRA	18411
BUBION	18412
CAPILEIRA	18413
PITRES	18414
PORTUGOS	18415
ATALBEITAR	18416
TREVELEZ	18417
AGUSTINES, LOS	18418
LANJARON	18420
TORVIZCON	18430
ALMEGIJAR	18438
CASTARAS	18439
CADIAR	18440
NARILA	18448
LOBRAS	18449
GOLCO	18450
ALCUTAR	18451
JUVILES	18452
YEGEN	18460
MECINA ALFAHAR	18470
UGIJAR	18480
MURTAS	18490
TURON	18491
COJAYAR	18492
CHERIN	18494
MONTOROS, LOS	18495
GUADIX	18500
BENALUA	18510
ALCUDIA DE GUADIX	18511
CALAHORRA, LA	18512
FERREIRA	18513
ALDEIRE	18514
BEJARIN, EL	18515
BEAS DE GUADIX	18516
CORTES Y GRAENA	18517
ALBUÑAN	18518
PAULENCA	18519
ALAMEDILLA	18520
PEDRO MARTINEZ	18530
ALICUN DE ORTEGA	18538
VILLANUEVA DE LAS TORRES	18539
DELGADILLO	18540
IZNALLOZ	18550
GUADAHORTUNA	18560
MONTEGICAR	18561
BOGARRE	18562
GOBERNADOR	18563
BENALUA DE LAS VILLAS	18564
CAMPOTEJAR	18565
DEHESAS VIEJAS	18567
PIÑAR	18568
DEIFONTES	18570
MOTRIL	18600
LOBRES	18610
MOLVIZAR	18611
ITRABO	18612
VARADERO, EL	18613
CARLOS, LOS	18614
GORGORACHA	18616
ALHENDIN	18620
OTURA	18630
PADUL	18640
DURCAL	18650
CHITE	18656
ACEQUIAS	18657
MELEGIS	18658
ALBUÑUELAS	18659
BEZNAR	18660
VELEZ DE BENAUDALLA	18670
CALETA DE SALOBREÑA	18680
ALMUÑECAR	18690
HERRADURA, LA	18697
OTIVAR	18698
JETE	18699
ALBUÑOL	18700
ALBONDON	18708
CORTIJO BAJO	18709
ALCAZAR	18710
RUBITE	18711
SORVILAN	18713
TORRENUEVA	18720
CALAHONDA	18730
CASTELL DE FERRO	18740
CASTILLO DE BAÑOS	18750
RABITA, LA	18760
POZUELO, EL	18770
BAZA	18800
CANILES	18810
ZUJAR	18811
FREILA	18812
CUEVAS DEL CAMPO	18813
CORTES DE BAZA	18814
CAMPO CAMARA	18815
ALMONTARAS	18816
BENAMAUREL	18817
CARRIONES, LOS	18818
BALAX	18819
BUGEJAR	18820
ALMACILES	18829
HUESCAR	18830
GALERA	18840
ALQUERIA, LA	18849
CULLAR	18850
FUENTE NUEVA	18858
MATIAN	18859
BACOR	18860
CENASCURAS	18870
JUNTAS, LAS (GOR)	18879
HERNAN VALLE	18880
CHARCONES, LOS	18890
AMARGUILLA, LA	18891
Guadalajara	19001
Guadalajara	19002
Guadalajara	19003
Guadalajara	19004
Guadalajara	19005
Guadalajara	19070
Guadalajara	19071
Guadalajara	19080
PASTRANA	19100
MONDEJAR	19110
YEBRA	19111
ALBARES	19112
FUENTENOVILLA	19113
MAZUECOS	19114
ALMOGUERA	19115
DRIEBES	19116
ALBALATE DE ZORITA	19117
ALMONACID DE ZORITA	19118
ANGUIX	19119
SACEDON	19120
ALCOCER	19125
SALMERON	19126
CASTILFORTE	19127
ANCLAS, LAS	19128
ALIQUE	19129
AUÑON	19130
ENTREPEÑAS	19131
ALHONDIGA	19132
ALOCEN	19133
PEÑALVER	19134
ARMUÑA DE TAJUÑA	19135
HORCHE	19140
ARANZUEQUE	19141
LUPIANA	19142
DURON	19143
FUENTELENCINA	19144
RENERA	19145
IRIEPAL	19150
CENTENERA	19151
ALDEANUEVA DE GUADALAJARA	19152
ATANZON	19153
ALBOLLEQUE	19160
POZO DE GUADALAJARA	19161
CIUDAD RESIDENCIAL EL CLAVIN	19162
CASAR, EL	19170
CABANILLAS DEL CAMPO	19171
GALAPAGOS	19174
MARCHAMALO	19180
FUENTELAHIGUERA DE ALBATAGES	19182
ALPEDRETE DE LA SIERRA	19184
CARAQUIZ I, II Y III, URBANIZACION	19185
CUBILLO DE UCEDA, EL	19186
UCEDA	19187
TORIJA	19190
BELTRANEJA, URBANIZACION	19192
TARACENA	19193
ARCIPRESTE, URBANIZACION	19196
CAÑIZAR	19197
TORTOLA DE HENARES	19198
ACEQUILLA	19200
ALOVERA	19208
EUSEBIO CENTENERA, URBANIZACION	19209
YUNQUERA DE HENARES	19210
MALAGA DEL FRESNO	19219
HUMANES DE MOHERNANDO	19220
TAMAJON	19222
CAMPILLEJO	19223
MATALLANA, PRESA DE	19224
ALMIRUETE	19225
MOHERNANDO	19226
ALARILLA	19227
CEREZO DE MOHERNANDO	19229
COGOLLUDO	19230
ALEAS	19237
ARROYO DE FRAGUAS	19238
MONASTERIO	19239
JADRAQUE	19240
HIENDELAENCINA	19242
CONGOSTRINA	19243
ALDEANUEVA DE ATIENZA	19244
ANGON	19245
CASAS DE SAN GALINDO	19246
BARRIO ESTACION DE JADRAQUE	19247
HITA	19248
CHOCOLATERO, EL	19249
SIGUENZA	19250
ALCOLEA DEL PINAR	19260
CORTES DE TAJUÑA	19261
BARBATONA	19262
BUJARRABAL	19263
ALBORECA	19264
POZANCOS	19265
ATANCE, EL	19266
